제품명,제품군 대분류,제품군 중분류,제품군 소분류,업체명,업체주소,생산지,출처,처분권자,조치일자,조치내용,위반내용,기타
melody flower candles(연꽃초_핑크),기타류,양초,,거인기획 (032-574-7282),"서울시 용산구 이태원로 191, 2층",,,한강청,2019-01-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),※거인기획에서 수입한 제품에 한함
happy birthday 연꽃초,기타류,양초,,아이디어홍 (031-963-8382),경기도 고양시 덕양구 통일로1170번길 93-2 1층,,,한강청,2019-01-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),※아이디어홍에서 수입한 제품에 한함
flower candles (연꽃초_옐로우),기타류,양초,,엠제이(MJ)무역 ,경기도 김포시 유현로33번길 36-6 1층,,,한강청,2019-01-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),※엠제이(MJ)무역에서 수입한 제품에 한함
flower candles (연꽃초_퍼플),기타류,양초,,엠제이(MJ)무역 ,경기도 김포시 유현로33번길 36-6 1층,,,한강청,2019-01-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),※엠제이(MJ)무역에서 수입한 제품에 한함
flower candles (연꽃초_레드),기타류,양초,,히든템 (070-4421-3743),"경기도 부천시 옥산로290번길 26, 5층",,,한강청,2019-01-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),※히든템에서 수입한 제품에 한함
OTOSTERN GC-1,코팅/접착제류,코팅제,,레인보우케이㈜ (070-4125-1118),서울특별시 영등포구 당산로10길,,,한강청,2019-01-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),
AUTO CERAMICS COATING,코팅/접착제류,코팅제,,바나나빌딩 (070-7649-1717),경기도 의정부시 둔야로 17번길 31 4층,,,한강청,2019-01-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),※바나나빌딩에서 수입한 제품에 한함
DASCO PATENT GLOSS,코팅/접착제류,코팅제,,삼우상사 (02-2294-6194),서울시 성동구 성수이로 147,,,한강청,2019-01-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),※삼우상사에서 수입한 제품에 한함
헤드라이트 복원제,염료/염색류,물체탈/염색제,,디에이치카 (070-5015-2317),"영양군 입암면 병옥리 124, 1층",,,대구청,2019-01-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),※디에이치카에서 수입한 제품에 한함
엘카 캔디 스프레이(블랙) LC-200,염료/염색류,물체탈/염색제,,㈜이엔엠컴퍼니(1600-8326),경기도 부천시 워님구 원미동 45-2 비01호,,,한강청,2019-01-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),
TAMIYA COLOR TS-1,염료/염색류,물체탈/염색제,,한국타미야 (02-576-1981),서울시 서초구 바우뫼로215,,,한강청,2019-01-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),※한국 타미야에서 수입한 제품에 한함
신발용 숯 향균 탈취제 (GTS0646),방향제류,탈취제,,㈜Tree(1566-6779),,,,한강청,2019-01-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),※㈜Tree에서 수입한 제품에 한함
퀸센스,살생물제류,방충제,,한일 ,경기도 남양주시 진전읍 장현리 477-12,,,한강청,2019-01-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),
쌀벌레 퇴치선언,살생물제류,방충제,,허브라이프 (031-314-2630),"경기도 시흥시 수인로 3107-13, 1층",,,한강청,2019-01-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),
SK75,살생물제류,소독제,,서강에스피티 (031-663-5078),"경기도 평택시 서탄면 수월암길 62, 103호",,,한강청,2019-01-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),
UHU 섬유전용접착제,코팅/접착제류,접착제,,인드림텍 (02-764-3880),서울시 금천구 가산디지털1로 119 A-904 (SK트윈타워),,,한강청,2019-01-22,"판매금지,회수명령,개선명령",·폼알데하이드 465mg/kg 검출 ※ 안전기준 100mg/kg이하 (안전기준 위반),
록타이트 빨리굳는 목공용 접착제,코팅/접착제류,접착제,,헨켈코리아(유) (02-3279-1773),서울시 마포구 마포대로 4다길 41,,,한강청,2019-01-22,"판매금지,회수명령,개선명령",·폼알데하이드 220mg/kg 검출 ※ 안전기준 100mg/kg이하 (안전기준 위반),※헨켈코리아(유)에서 수입한 제품에 한함
찰리 루시 석고방향제,방향제류,방향제,,"그날,온도 ","인천광역시 서구 청라라임로 51, 722호",,,한강청,2019-01-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),
디퓨져(애플유리병),방향제류,방향제,,대신공예 (02-2684-9222),경기도 광명시 광명로 362,,,한강청,2019-01-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),※대신공예에서 수입한 제품에 한함
디퓨져(유리목화병),방향제류,방향제,,대신공예 (02-2684-9222),경기도 광명시 광명로 362,,,한강청,2019-01-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),※대신공예에서 수입한 제품에 한함
수토메 아포테케리 룸 스프레이,방향제류,방향제,,수토메(sutome) (02-5349-5688),서울시 마포구 월드컵로 165-6,,,한강청,2019-01-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),
석고방향제,방향제류,방향제,,와라엔지니어링 ,서울시 관악구 남부순환로 1802,,,한강청,2019-01-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),※ 모델명 미표기
캐릭터석고 방향제,방향제류,방향제,,향기티나 ,"경북 경산시 압량면 대학로73길 35-2, 305호(웰컴)",,,대구청,2019-01-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),※ 모델명 미표기
3M 타이어 광택제,코팅/접착제류,코팅제,,엠나노케미칼 (031-339-2626),경기도 용인시 처인구 남사면 서촌로 142,,,한강청,2019-01-22,"판매금지,회수명령,개선명령",·CMIT 24mg/kg검출·MIT 14mg/kg검출 ※ 안전기준: 불검출 (안전기준 위반),※인드림텍에서 수입한 제품에 한함
고클린 내츄럴 글로스 디테일러,코팅/접착제류,코팅제,,케토시 인터내셔널 (070-4412-4982),,,,,2018-11-22,"판매금지,회수명령,개선명령",·CMIT 44mg/kg검출·MIT 19mg/kg검출 ※ 안전기준: 불검출   (안전기준 위반),※케토시 인터내셔널에서 수입한 제품에 한함
#108 타이어광택제,코팅/접착제류,코팅제,,주식회사 제이씨웍스 (031-287-6226),,,,,2018-11-22,"판매금지,회수명령,개선명령",·아세트알데하이드 89mg/kg 검출 ※ 안전기준: 60mg/kg이하   (안전기준 위반),※주식회사 제이씨웍스에서 수입한 제품에 한함
자동차용 코팅제 -아쿠아글로스,코팅/접착제류,코팅제,,스팽글랩 케미컬 (031-969-9355),,,,,2018-11-22,"판매금지,회수명령,개선명령",·폼알데하이드 597mg/kg 검출 ※ 안전기준: 50mg/kg이하   (안전기준 위반),
자동차용 코팅제 -레더컨디셔너,코팅/접착제류,코팅제,,스팽글랩 케미컬 (031-969-9355),,,,,2018-11-22,"판매금지,회수명령,개선명령",·폼알데하이드 488mg/kg 검출 ※ 안전기준: 50mg/kg이하   (안전기준 위반),
자동차용 코팅제 -프레스토,코팅/접착제류,코팅제,,스팽글랩 케미컬 (031-969-9355),,,,,2018-11-22,"판매금지,회수명령,개선명령",·폼알데하이드 281mg/kg 검출 ※ 안전기준: 50mg/kg이하   (안전기준 위반),
Miracle 2K Paint(우레탄) -적갈색,코팅/접착제류,코팅제,,"(주)수 SOO co.,ltd (051-972-0305)",,,,,2018-11-22,"판매금지,회수명령,개선명령",·니켈 6.9mg/kg 검출 ※ 안전기준: 1mg/kg 이하   (안전기준 위반),
형광도료 (LK-717)-파랑,염료/염색류,물체탈/염색제,,럭키산업 주식회사 (054-933-7287),,,,,2018-11-22,"판매금지,회수명령,개선명령",·벤젠 43mg/kg 검출 ※ 안전기준: 30mg/kg이하   (안전기준 위반),
형광도료 (LK-717)-녹색,염료/염색류,물체탈/염색제,,럭키산업 주식회사 (054-933-7287),,,,,2018-11-22,"판매금지,회수명령,개선명령",·벤젠 42mg/kg 검출 ※ 안전기준: 30mg/kg이하   (안전기준 위반),
형광도료 (LK-717)-PINK,염료/염색류,물체탈/염색제,,럭키산업 주식회사 (054-933-7287),,,,,2018-11-22,"판매금지,회수명령,개선명령",·벤젠 42mg/kg 검출 ※ 안전기준: 30mg/kg이하   (안전기준 위반),
CAR PAINT- 갤럭시 화이트,염료/염색류,물체탈/염색제,,대영케미칼 (02-2242-3348),,,,,2018-11-22,"판매금지,회수명령,개선명령",·벤젠 53mg/kg 검출 ※ 안전기준: 30mg/kg이하   (안전기준 위반),
CAR PAINT- 토마토 레드,염료/염색류,물체탈/염색제,,대영케미칼 (02-2242-3348),,,,,2018-11-22,"판매금지,회수명령,개선명령",·벤젠 34mg/kg 검출 ※ 안전기준: 30mg/kg이하   (안전기준 위반),
에어로칠 락카스프레이 -투명,염료/염색류,물체탈/염색제,,㈜노루페인트 (080-944-7777),,,,,2018-11-22,"판매금지,회수명령,개선명령",·벤젠 56mg/kg 검출 ※ 안전기준: 30mg/kg이하   (안전기준 위반),
Z507 자이몰 레더 크리너,세제류,세정제,,㈜에스씨에이 (02-3418-1222),,,,,2018-11-22,"판매금지,회수명령,개선명령",·폼알데하이드 314mg/kg 검출 ※ 안전기준: 40mg/kg이하   (안전기준 위반),※㈜에스씨에이에서 수입한 제품에 한함
스티커자국 제거제SR-220,세제류,세정제,,주식회사 나바켐 (041-531-7992),,,,,2018-11-22,"판매금지,회수명령,개선명령",·디클로로메탄 190mg/kg 검출 ※ 안전기준: 불검출   (안전기준 위반),
베이비 향균탈취제,방향제류,탈취제,,㈜씨맥스코리아 (02-6961-5260),,,,,2018-11-22,"판매금지,회수명령,개선명령",·은 18.9mg/kg 검출 ※ 안전기준: 0.4mg/kg 이하   (안전기준 위반),
View OK  Anti-Fog general -헬멧스키 고글,코팅/접착제류,김서림 방지제,,나노에코웨이 (070-8871-2088),,,,,2018-11-22,"판매금지,회수명령,개선명령",·아세트알데하이드 10mg/kg 검출 ※ 안전기준: 5mg/kg이하    (안전기준 위반),
싹지움 물걸레용 패드,세제류,세정제,,㈜칠산클린업 (051-971-0085),,,,,2018-11-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),
에코바니 베이킹소다(중조),세제류,세정제,,㈜친환경상품물류센터 (031-978-8371),,,,,2018-11-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),
파마코 슈케어,염료/염색류,물체탈/염색제,,스마트인터내셔날 (032-327-8420),,,,,2018-11-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),※스마트인터내셔날에서 수입한 제품에 한함
wedding dome set,방향제류,방향제,,센트그라운드 ,,,,,2018-11-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),
호빵맨친구들  석고 방향제,방향제류,방향제,,디오르센트 ,,,,,2018-11-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),
우드디퓨저,방향제류,방향제,,디오르센트 ,,,,,2018-11-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),
건담 석고 방향제,방향제류,방향제,,코니타(connita) ,,,,,2018-11-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),
슈퍼마리오 석고 방향제,방향제류,방향제,,석고방향제 흔마켓 ,,,,,2018-11-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),
곰돌이 석고 방향제,방향제류,방향제,,러브썸 ,,,,,2018-11-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),
그린시아 세탁용 세제,세제류,합성세제,,㈜세모 (1522-3590),,,,,2018-11-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),
에코바니 산소계 표백제,세제류,표백제,,㈜친환경상품물류센터 (031-978-8371),,,,,2018-11-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),
만능접착제 K-5801,코팅/접착제류,접착제,,동경3테크 (053-952-1917),,,,,2018-11-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),
만들기806 본드,코팅/접착제류,접착제,,동경3테크 (053-952-1917),,,,,2018-11-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),
일반공업 순간 접착제 K-5802,코팅/접착제류,접착제,,동경3테크 (053-952-1917),,,,,2018-11-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),
아크릴접착제,코팅/접착제류,접착제,,그린존(GREEN-ZONE) (02-757-5040),,,,,2018-11-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),
PVC 포멕스 본드,코팅/접착제류,접착제,,그린존(GREEN-ZONE) (02-757-5040),,,,,2018-11-22,"판매금지,회수명령,개선명령",·자가검사 미이행 (안전·표시기준 위반),
염색물감 Colorbank VIVID,염료/염색류,물체탈/염색제,,㈜종이나라 (080-900-9305),,,,,2018-11-22,"판매금지,회수명령,개선명령",자가검사 미이행(안전·표시기준 위반),
리드디퓨저 (REED DIFFUSER) - 블러싱튤립향,방향제류,방향제,,㈜내추럴홈 (02-514-1641),,,,,2018-08-30,"판매금지, 회수·개선명령","폼알데하이드 64mg/kg 검출※안전기준:25mg/kg이하 (안전기준 위반)",㈜내추럴홈에서 수입한  제품에 한함
RHS  리드 디퓨저-CLASSIC ROSE,방향제류,방향제,,심지 (031-717-1808),,,,,2018-08-30,"판매금지, 회수·개선명령","메탄올 21,179mg/kg 검출※안전기준: 2,000mg/kg이하 (안전기준 위반)",심지에서 수입한  제품에 한함
RHS  리드 디퓨저-PEONY,방향제류,방향제,,심지 (031-717-1808),,,,,2018-08-30,"판매금지, 회수·개선명령","메탄올 22,475mg/kg 검출※안전기준: 2,000mg/kg이하 (안전기준 위반)",심지에서 수입한  제품에 한함
RHS  리드 디퓨저-SOFT COTTON,방향제류,방향제,,심지 (031-717-1808),,,,,2018-08-30,"판매금지, 회수·개선명령","메탄올 21,177mg/kg 검출※안전기준: 2,000mg/kg이하 (안전기준 위반)",심지에서 수입한  제품에 한함
마블  종이 방향제_아이언맨 (라벤더향),방향제류,방향제,,비프레쉬 (070-8243-8242),,,,,2018-08-30,"판매금지, 회수·개선명령","폼알데하이드 62mg/kg 검출※안전기준:25mg/kg이하 (안전기준 위반)",
마블  종이 방향제_닥터 스트레인지 (레몬향),방향제류,방향제,,비프레쉬 (070-8243-8242),,,,,2018-08-30,"판매금지, 회수·개선명령","폼알데하이드 59mg/kg 검출※안전기준:25mg/kg이하 (안전기준 위반)",
마블  종이 방향제_헐크 (포레스트향),방향제류,방향제,,비프레쉬 (070-8243-8242),,,,,2018-08-30,"판매금지, 회수·개선명령","폼알데하이드 62mg/kg 검출※안전기준:25mg/kg이하 (안전기준 위반)",
VOLUSPA SANTIAGO HUCKLEBERRY,방향제류,방향제,,제이케이글로벌 ,,,,,2018-08-30,"판매금지, 회수·개선명령","·자가검사 미이행·표시사항 전체 미표기 (표시기준 위반)",제이케이 글로벌에서 수입한제품에  한함
어버이날 포토방향제 거치형,방향제류,방향제,,Blossom  J ,,,,,2018-08-30,"판매금지, 회수·개선명령","·자가검사 미이행·표시사항 전체 미표기 (표시기준 위반)",주식회사 헤비츠에서 수입한 제품에  한함
FABRIC  WAX,코팅/접착제류,코팅제,,주식회사 헤비츠 (02-2238-0322),,,,,2018-08-30,"판매금지, 회수·개선명령","·자가검사 미이행(행정처분 이후 자가검사('18.8.17) 실시)·표시사항 전체 미표기 (표시기준 위반)""",
SHOE  WAX POLISH,코팅/접착제류,코팅제,,런코리아 (02-388-5219),,,,,2018-08-30,"판매금지, 회수·개선명령","·자가검사 미이행·표시사항 전체 미표기 (표시기준 위반)",런코리아에서 수입한 제품에  한함
Motul  C2 Chain  Lube Road,코팅/접착제류,방청제,,한국 오토파츠,,,,,2018-08-30,"판매금지, 회수·개선명령","·자가검사 미이행·표시사항 전체 미표기 (표시기준 위반)",한국 오토파츠에서 수입한  제품에 한함
락스퐁,세제류,세정제,,성민산업 (070-7647-0353),,,,,2018-08-30,"판매금지, 회수·개선명령","·자가검사 미이행·표시사항 일부 미표기 (표시기준 위반)",
소다산 얼룩제거젤,세제류,세정제,,디토 (070-4670-0017),,,,,2018-08-30,"판매금지, 회수·개선명령","·자가검사 미이행·표시사항 일부 미표기 (표시기준 위반)",디토에서 수입한 제품에  한함
ILDC  SENSOR CLEANING KIT,세제류,세정제,,㈜매틴 (02-3445-7877),,,,,2018-08-30,"판매금지, 회수·개선명령","·자가검사 미이행·표시사항 일부 미표기 (표시기준 위반)",㈜매틴에서 수입한 제품에  한함
LENS CLEANER PORTABLE KIT ,세제류,세정제,,㈜매틴 (02-3445-7877),,,,,2018-08-30,"판매금지, 회수·개선명령","·자가검사 미이행·표시사항 일부 미표기 (표시기준 위반)",㈜매틴에서 수입한 제품에  한함
냉장고(숯) 탈취제,방향제류,탈취제,,㈜산도깨비 (02-313-2000),,,,,2018-08-30,"판매금지, 회수·개선명령","폼알데하이드 52mg/kg 검출※안전기준:25mg/kg이하 (안전기준 위반)",
풋풋가루 (footfootpowder) ,방향제류,탈취제,,뉴스쿨 ,,,,,2018-08-30,"판매금지, 회수·개선명령","폼알데하이드196mg/kg 검출※안전기준:25mg/kg이하 (안전기준 위반)",
아이토크_ 슈퍼홀릭 쌍꺼풀액,코팅/접착제류,접착제,,큐브스카이 (070-7136-0815),,,,,2018-08-30,"판매금지, 회수·개선명령","·자가검사 미이행·표시사항 전체 미표기 (표시기준 위반)",큐브스카이 에서  수입한 제품에  한함
E6000,코팅/접착제류,접착제,,세비물산 (02-773-8788),,,,,2018-08-30,"판매금지, 회수·개선명령","·자가검사 미이행·표시사항 전체 미표기 (표시기준 위반)",세비물산에서 수입한 제품에  한함
E6000,코팅/접착제류,접착제,,엔제이아이 인터내셔날 (02-775-3444),,,,,2018-08-30,"판매금지, 회수·개선명령","·자가검사 미이행·표시사항 전체 미표기 (표시기준 위반)",엔제이아이 인터내셔날에서 수입한 제품에  한함
투웨이 젤 (TWO WAY  GEL),코팅/접착제류,접착제,,퍼펙트 룩 앤드 헬스코리아 (02-3443-4141),,,,,2018-08-30,"판매금지, 회수·개선명령","·자가검사 미이행·표시사항 전체 미표기 (표시기준 위반)",퍼펙트 룩 앤드 헬스코리아에서 수입한  제품에 한함
MR. CLEAN MULTI-PURPOSE CLEANER MEADOWS&RAIN,세제류,세정제,,주식회사 와이더코퍼레이션 (02-485-5377),,,,,2018-07-24,해당 제품의 판매중단 및 회수 개선명령,"·에탄올아민 기준 초과 - KTC : 0.58%(1차) - KCL : 0.35%(2차) - FIT I :0.43%(2차)  ※안전기준: 0.1% 이하 (안전기준 위반)",주식회사 와이더코퍼레 이션에서 수입한 제품에 한함
사계절 워셔액,자동차 전용 제품,자동차 워셔액,,용호종합상사,,,,,2018-07-24,해당 제품의 판매중단 및 회수 개선명령,"·메틸알코올 기준 초과 - KOTITI : 20.5%(1차) - KTC : 23.0% (2차) - KTR : 19.4%(2차)※안전기준: 0.6% 이하 (안전기준 위반)",전 제품
A1 사계절 워셔액,자동차 전용 제품,자동차 워셔액,,㈜에이원케미칼 (041-337-6358),,,,,2018-07-24,해당 제품의 판매중단 및 회수 개선명령,"·메틸알코올 기준 초과 - KCL : 30.0%(1차) - KTR : 29.4%(2차) - KATRI : 30.8%(2차) ※안전기준: 0.6% 이하 (안전기준 위반)",전 제품
Bathtub Resurfacing kit_cleaning powder,세제류,세정제,,크린통상 ,,,,,2018-07-24,해당 제품의 판매중단 및 회수 개선명령,"자가검사 미이행 (안전기준 위반)·표시사항 전체 미표기 (표시기준 위반)",크린통상에서 수입한 제품에 한함
NeverWet FABRIC,코팅/접착제류,코팅제,,㈜티앤 에프 (070-8805-8655),,,,,2018-07-24,해당 제품의 판매중단 및 회수 개선명령,"자가검사 미이행 (안전기준 위반)·표시사항 전체 미표기 (표시기준 위반)",(주)티앤에프 에서 수입한 제품에 한함
소칠이,코팅/접착제류,코팅제,,케이앤피 ,,,,,2018-07-24,해당 제품의 판매중단 및 회수 개선명령,"자가검사 미이행 (안전기준 위반)·표시사항 전체 미표기 (표시기준 위반)",전 제품
Motul E.Z. Lube,코팅/접착제류,방청제,,㈜일진 통상 (051-319-2112),,,,,2018-07-24,해당 제품의 판매중단 및 회수 개선명령,"·자가검사 미이행 (안전기준 위반)·표시사항 전체 미표기 (표시기준 위반)",(주)일진통상 에서 수입한 제품에 한함
FROG SPIT ANTI-FOG,코팅/접착제류,김서림 방지제,,씽크워터 (070-8159-5930),,,,,2018-07-24,해당 제품의 판매중단 및 회수 개선명령,"자가검사 미이행 (안전기준 위반)·표시사항 전체 미표기 (표시기준 위반)",씽크워터에서 수입한 제품에 한함
푸들 석고방향제,방향제류,방향제,,라플레인 ,,,,,2018-07-24,해당 제품의 판매중단 및 회수 개선명령,"자가검사 미이행 (안전기준 위반)·표시사항 전체 미표기 (표시기준 위반)",전 제품
호빵맨친구들 석고방향제,방향제류,방향제,,센트 팩토리 ,,,,,2018-07-24,해당 제품의 판매중단 및 회수 개선명령,"자가검사 미이행 (안전기준 위반)·표시사항 전체 미표기 (표시기준 위반)",전 제품
스누피 석고방향제,방향제류,방향제,,A Flowery Day ,,,,,2018-07-24,해당 제품의 판매중단 및 회수 개선명령,"자가검사 미이행 (안전기준 위반)·표시사항 전체 미표기 (표시기준 위반)",전 제품
크리스마스 무민패밀리 석고방향제,방향제류,방향제,,블루버드스토 어 ,,,,,2018-07-24,해당 제품의 판매중단 및 회수 개선명령,"자가검사 미이행 (안전기준 위반)·표시사항 전체 미표기 (표시기준 위반)",전 제품
그린란드 왁스 트래블 팩,코팅/접착제류,코팅제,,㈜에스제이 컴퍼니 (02-598-9688),,,,,2018-07-24,해당 제품의 판매중단 및 회수 개선명령,"자가검사 미이행 (안전기준 위반)·표시사항 전체 미표기 (표시기준 위반)",(주)에스제이 컴퍼니에서 수입한 제품에 한함
Shine 다용도 세정제,세제류,세정제,,Shine H.T Tech (032-568-1174),,,,,2018-07-24,해당 제품의 판매중단 및 회수 개선명령,"자가검사 미이행 (안전기준 위반)·표시사항 전체 미표기 (표시기준 위반)",전 제품
타이어 휠 세정제 Rim Cleaner Special - 린스몰 제품에 한함,세제류,세정제,,린스몰(070-7655-2800),,,,,2018-06-08,회수명령,자가검사 미실시,
CC Water·GOLD - 카에루 디테일링 제품에 한함,코팅/접착제류,코팅제,,카에루 디테일링,,,,,2018-06-08,회수명령,자가검사 미실시,
Maxima Synthetic Chain Guard - 해영모터스(주) 제품에 한함,코팅/접착제류,방청제,,해영모터스㈜(02-2276-0458),,,,,2018-06-08,회수명령,자가검사 미실시,
TOP순간접착제 Type. TS-005 - (주)아르케 제품에 한함,코팅/접착제류,접착제,,㈜아르케(031-404-9157),,,,,2018-06-08,회수명령,자가검사 미실시,
NAN VITAL Brush GEL,코팅/접착제류,접착제,,주식회사 아이엔에스코리아(031-399-2293),,,,,2018-06-08,회수명령,자가검사 미실시,
T'UP Car Fragrance - 밀리언컴퍼니 제품에 한함,방향제류,방향제,,밀리언컴퍼니(02-3424-4011),,,,,2018-06-08,회수명령,자가검사 미실시,
아이스베어 석고방향제,방향제류,방향제,,콩고야,,,,,2018-06-08,회수명령,자가검사 미실시,
맑은락스,살생물제류,소독제,,맑은나라(051-292-0666),,,,,2018-06-08,회수명령,자가검사 미실시,
tie365_라벤더,살생물제류,소독제,,미남메디칼(1566-2723),,,,,2018-06-08,회수명령,자가검사 미실시,
tie365_피치,살생물제류,소독제,,미남메디칼(1566-2723),,,,,2018-06-08,회수명령,자가검사 미실시,
tie365_민트,살생물제류,소독제,,미남메디칼(1566-2723),,,,,2018-06-08,회수명령,자가검사 미실시,
프렌치라벤더향 소이 캔들,방향제류,방향제,,소이페페,,,,,2017-12-19,회수명령,자가검사 미실시,전 제품
빈티지 플라워 디퓨져,방향제류,방향제,,바이아나이스,,,,,2017-12-19,회수명령,자가검사 미표시,전 제품
카비키라 욕실 곰팡이제거,세제류,세정제,,에이치앤에스,,,,,2017-12-19,회수명령,자가검사 미실시,전 제품
매니크 크리스탈 디퓨저,방향제류,방향제,,매니크,,,,,2017-12-19,회수명령,자가검사 미실시,전 제품
마이티퍼티,코팅/접착제류,접착제,,바나나빌딩(070-7649-1717),,,,,2017-12-19,회수명령,자가검사 미실시,전 제품
마이티퍼티,코팅/접착제류,접착제,,jy무역(02-456-8492),,,,,2017-12-19,회수명령,자가검사 미실시,전 제품
아이폰 헬멧바이저,코팅/접착제류,코팅제,,Ipone Korea(070-4715-5551),,,,,2017-12-19,회수명령,자가검사 미실시,"자가검사번호(E-A05B-T00080001-A180)가 표시되어 있고, 18.1.16 이후 생산된 제품은 적합한 제품으로 유통 가능함"
천연소이캔들 메리고,방향제류,방향제,,톡나,,,,,2017-12-19,회수명령,자가검사 미실시,전 제품
플라워 향초,방향제류,방향제,,㈜제주사랑농수산(064-782-1101),,,,,2017-12-19,회수명령,자가검사 미실시,전 제품
해녀 석고 방향제,방향제류,방향제,,공감89,,,,,2017-12-19,회수명령,자가검사 미실시,전 제품
석고캘리방향제,방향제류,방향제,,한담산책,,,,,2017-12-19,회수명령,자가검사 미실시,전 제품
제주바당 소곱에,방향제류,방향제,,대흥상회(064-752-0523),,,,,2017-12-19,회수명령,자가검사 미실시,전 제품
부두라이드 코팅왁스,코팅/접착제류,코팅제,,엠인터내셔널(0502-321-5656),,,,,2017-12-19,회수명령,자가검사 미실시,전 제품
모토렉스 모터싸이클 광택제,코팅/접착제류,코팅제,,신원모터싸이클(02-2265-7062),,,,,2017-12-19,회수명령,자가검사 미실시,전 제품
여수바다캔들 ,방향제류,방향제,,내마음바다,,,,,2017-12-19,회수명령,자가검사 미실시,전 제품
차량용 방향제-에어포스원,방향제류,방향제,,알엔앤,,,,,2017-12-19,회수명령,자가검사 미실시,전 제품
에어포스 송풍구 방향제,방향제류,방향제,,㈜엔코크(053-623-0036),,,,,2017-12-19,회수명령,자가검사 미표시,전 제품
크리스탈 자동차 방향제,방향제류,방향제,,대원무역상사(070-8258-0232),,,,,2017-12-19,회수명령,자가검사 미실시,전 제품
OtterWaxheavy-DutyFabric ,코팅/접착제류,코팅제,,하드웰(02-852-3680),,,,,2017-12-19,회수명령,자가검사 미표시,전 제품
에코아 차량용 디퓨저,방향제류,방향제,,반도 향기나라(070-8118-2222),,,,,2017-12-19,회수명령,자가검사 미실시,전 제품
nuc candle,방향제류,방향제,,디오디(02-1600-7062),,,,,2017-12-19,회수명령,자가검사 미실시,전 제품
차량 프로펠러 에어컨 방향제,방향제류,방향제,,디엠케이인터내셔날,,,,,2017-12-19,회수명령,자가검사 미실시,전 제품
차량 프로펠러 에어컨 방향제,방향제류,방향제,,대원무역상사(070-8258-0232),,,,,2017-12-19,회수명령,자가검사 미실시,전 제품
100ml룸스프레이(베이),방향제류,방향제,,오늘도블룸,,,,,2017-12-19,회수명령,자가검사 미실시,전 제품
심플우드디퓨져(피그포레스트),방향제류,방향제,,오늘도블룸,,,,,2017-12-19,회수명령,자가검사 미실시,전 제품
유린오프 캣 스프레이,방향제류,탈취제,,씨씨펫(031-474-0474),,,,,2017-12-19,회수명령,자가검사 미실시,전 제품
슈왁스,코팅/접착제류,코팅제,,㈜아웃도어파크(02-2045-7200),,,,,2017-12-19,회수명령,자가검사 미실시,전 제품
